년,월,순위,외지인 검색 수,분류,관광지명,주소
2018,4,7,8002,자연경관(하천/해양),함덕해수욕장,제주 제주시 조함해안로 525-0
2018,4,8,7300,자연경관(산),천지연폭포,제주 서귀포시 서문서로 1-1
2018,4,9,7114,테마공원,에코랜드테마파크,제주 제주시 번영로 1278-169
2018,4,10,6123,기타관광,용두암,제주 제주시 용두암길 15-0
2018,4,11,5858,테마공원,아쿠아플라넷제주,제주 서귀포시 섭지코지로 93-15
2018,4,12,5854,기타관광,섭지코지,제주 서귀포시 섭지코지로 107-0
2018,4,13,5571,자연경관(하천/해양),이호테우해변,제주 제주시
2018,4,14,5475,자연공원,비자림,제주 제주시 비자숲길 55-0
2018,4,15,5247,기타레저스포츠,한라산둘레길사려니숲길,제주 제주시
2018,4,16,5088,자연경관(하천/해양),월정리해변,제주 제주시
2018,4,17,5058,기타관광,주상절리대,제주 서귀포시 이어도로 36-30
2018,4,18,4964,기타관광,쇠소깍,제주 서귀포시 쇠소깍로 128-0
2018,4,19,4932,자연경관(하천/해양),성산항,제주 서귀포시
2018,4,20,4551,대형마트,이마트서귀포점,제주 서귀포시 일주동로 9209-0
2018,4,21,4034,자연경관(산),새별오름,제주 제주시
2018,4,22,3939,자연경관(하천/해양),곽지해수욕장,제주 제주시
2018,4,23,3854,시장,동문공설시장,제주 제주시 동문로 16-0
2018,4,24,3787,자연경관(산),정방폭포,제주 서귀포시
2018,4,25,3528,기타관광,오라동메밀밭,제주 제주시
2018,4,26,3486,콘도미니엄,소노벨제주,제주 제주시 신북로 577-0
2018,4,27,3476,호텔,신라호텔제주,제주 서귀포시 중문관광로72번길 75-0
2018,4,28,3363,대형마트,이마트신제주점,제주 제주시 1100로 3348-0
2018,4,29,3332,콘도미니엄,소노캄제주,제주 서귀포시 일주동로 6347-17
2018,4,30,3202,테마공원,카멜리아힐,제주 서귀포시 병악로 166-0
2018,4,31,3178,호텔,롯데호텔제주점,제주 서귀포시 중문관광로72번길 35-0
2018,4,32,3074,자연생태,만장굴,제주 제주시 만장굴길 182-0
2018,4,33,3039,자연경관(하천/해양),김녕해수욕장,제주 제주시 해맞이해안로 7-6
2018,4,34,3025,복합관광시설,퍼시픽리솜,제주 서귀포시 중문관광로 154-17
2018,4,35,2986,자연공원,제주절물자연휴양림,제주 제주시 명림로 584-0
2018,4,36,2960,시장,동문수산시장,제주 제주시 관덕로14길 20-0
2018,4,36,2960,복합관광시설,산굼부리,제주 제주시
2018,4,38,2950,교통시설,우도도항선선착장,제주 서귀포시 성산등용로 130-21
2018,4,39,2842,콘도미니엄,금호리조트제주,제주 서귀포시 태위로 522-12
2018,4,40,2749,기타관광,용머리해안,제주 서귀포시 사계남로216번길 24-32
2018,4,41,2633,복합관광시설,제주신화월드,제주 서귀포시 신화역사로304번길 139-0
