TRRSRT_NM,TRRSRT_AREA_NM,TRRSRT_ADRES,TRRSRT_LA_XCRD,TRRSRT_LO_YCRD,TRRSRT_TY_NM,TRRSRT_AMOUNT,USER_AGRDE_CODE,USER_SEXDSTN_CODE,USER_BRTC_CODE,CONECT_DEVICE_NM,PURCHS_DT,ADULT_NMPR_CO,CHILD_NMPR_CO,INFNT_NMPR_CO,USE_DT,SETLE_MN_NM,TOT_AMOUNT
자유이용권(서프라이즈테마파크),동부권,제주특별자치도 제주시 조천읍 남조로 2243 서프라이즈테마파크,0,0,,,,3,,,2021-05-07 오전 11:51:00,2,2,0,2021-05-07 오후 7:25:44,빌링(LG),58000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-02 오후 10:49:00,3,0,0,2021-05-08 오전 8:57:36,채널결제,19500
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-07 오후 7:37:00,1,0,0,2021-05-08 오전 9:45:02,채널결제,6500
자유이용권(수목원테마파크),제주시내권,제주특별자치도 제주시 은수길 69 수목원테마파크,0,0,,,,3,,,2021-03-31 오전 9:43:00,5,1,0,2021-05-08 오전 10:10:25,빌링(LG),95600
자유이용권(수목원테마파크),제주시내권,제주특별자치도 제주시 은수길 69 수목원테마파크,0,0,,,,3,,,2021-03-31 오전 9:43:00,5,1,0,2021-05-08 오전 10:10:45,빌링(LG),95600
제주민속촌 입장권,동부권,제주특별자치도 서귀포시 표선면 민속해안로 631-34 제주민속촌,0,0,테마파크,,,3,,,2021-05-07 오전 9:08:00,4,0,0,2021-05-08 오전 10:11:52,채널결제,35200
제주민속촌 입장권,동부권,제주특별자치도 서귀포시 표선면 민속해안로 631-34 제주민속촌,0,0,테마파크,,,3,,,2021-05-07 오후 3:08:00,4,0,0,2021-05-08 오전 10:16:29,카드,47800
자유이용권(그시절 추억의 테마공원 선녀와나무꾼),동부권,제주특별자치도 제주시 조천읍 선교로 267 그시절 추억의 테마공원 선녀와나무꾼,0,0,,,,3,,,2021-04-07 오후 12:42:00,4,0,0,2021-05-08 오전 10:22:26,빌링(LG),41600
(주)제주제트 - 제주제트보트,중문/서귀포,제주특별자치도 서귀포시 대포로 172-5 제주제트보트,0,0,잠수함/유람선/제트보트,,,3,,,2021-05-07 오후 2:16:00,2,2,0,2021-05-08 오전 10:48:02,카드,52000
제주 스카이워터쇼 (워터서커스),동부권,제주특별자치도 제주시 구좌읍 번영로 2172-80 제1호(아트랜드),0,0,쇼/공연/상영관,,,3,,,2021-05-05 오후 2:23:00,2,0,0,2021-05-08 오전 10:58:31,채널결제,44000
자유이용권(휴애리㈜),동부권,제주특별자치도 서귀포시 남원읍 신례천로 330 휴애리㈜,0,0,,,,3,,,2021-05-07 오전 11:58:00,6,0,0,2021-05-08 오전 11:04:53,빌링(LG),23400
카멜리아힐,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-08 오전 8:19:00,0,0,0,2021-05-08 오전 11:10:19,채널결제,5000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-08 오전 8:19:00,2,0,0,2021-05-08 오전 11:10:29,채널결제,13000
[탐나오이벤트]카멜리아힐1+1,서부권,제주특별자치도 서귀포시 안덕면 병악로 166 카멜리아힐,0,0,테마파크,,,3,,,2021-05-04 오후 4:04:00,1,0,0,2021-05-08 오전 11:14:19,채널결제,6500
