년월,읍면동명,업종명,이용금액
2017-02,대정읍,중식 음식점업,31875416
2017-02,대정읍,한식 음식점업,813013417
2017-02,대포동,기타 외국식 음식점업,0
2017-02,대포동,비알콜 음료점업,0
2017-02,대포동,빵 및 과자류 소매업,0
2017-02,대포동,서양식 음식점업,30072000
2017-02,대포동,일식 음식점업,102031000
2017-02,대포동,중식 음식점업,26730500
2017-02,대포동,한식 음식점업,140956150
2017-02,도남동,기타 외국식 음식점업,42862570
2017-02,도남동,비알콜 음료점업,8789090
2017-02,도남동,빵 및 과자류 소매업,48583151
2017-02,도남동,서양식 음식점업,33486400
2017-02,도남동,일식 음식점업,39496000
2017-02,도남동,중식 음식점업,18917500
2017-02,도남동,한식 음식점업,815059196
2017-02,도두이동,기타 외국식 음식점업,0
2017-02,도두이동,비알콜 음료점업,0
2017-02,도두이동,빵 및 과자류 소매업,0
2017-02,도두이동,서양식 음식점업,6686000
2017-02,도두이동,일식 음식점업,20617000
2017-02,도두이동,중식 음식점업,1972000
2017-02,도두이동,한식 음식점업,70431640
2017-02,도두일동,기타 외국식 음식점업,9000
2017-02,도두일동,비알콜 음료점업,14458600
2017-02,도두일동,빵 및 과자류 소매업,311000
2017-02,도두일동,서양식 음식점업,12962200
2017-02,도두일동,일식 음식점업,116204000
2017-02,도두일동,중식 음식점업,1891500
2017-02,도두일동,한식 음식점업,325260037
2017-02,도련이동,기타 외국식 음식점업,0
2017-02,도련이동,비알콜 음료점업,0
2017-02,도련이동,빵 및 과자류 소매업,12483690
2017-02,도련이동,서양식 음식점업,0
2017-02,도련이동,일식 음식점업,0
2017-02,도련이동,중식 음식점업,4906000
2017-02,도련이동,한식 음식점업,22245300
2017-02,도련일동,기타 외국식 음식점업,4165000
2017-02,도련일동,비알콜 음료점업,11038140
2017-02,도련일동,빵 및 과자류 소매업,15636340
2017-02,도련일동,서양식 음식점업,2534900
2017-02,도련일동,일식 음식점업,0
2017-02,도련일동,중식 음식점업,25048500
2017-02,도련일동,한식 음식점업,134471700
2017-02,도순동,기타 외국식 음식점업,0
2017-02,도순동,비알콜 음료점업,0
2017-02,도순동,빵 및 과자류 소매업,0
2017-02,도순동,서양식 음식점업,0
2017-02,도순동,일식 음식점업,0
2017-02,도순동,중식 음식점업,3105000
2017-02,도순동,한식 음식점업,4064000
2017-02,도평동,기타 외국식 음식점업,0
2017-02,도평동,비알콜 음료점업,43000
2017-02,도평동,빵 및 과자류 소매업,0
2017-02,도평동,서양식 음식점업,0
2017-02,도평동,일식 음식점업,0
2017-02,도평동,중식 음식점업,0
2017-02,도평동,한식 음식점업,840000
