연월,업종명,이용자구분,성별,이용자수,이용건수,이용금액
201809,비알콜 음료점업,내국인,남성,23642,25341,253135916
201809,비알콜 음료점업,내국인,알수없음,47,54,468350
201809,비알콜 음료점업,내국인,여성,24649,26449,261683880
201809,비알콜 음료점업,중국,알수없음,7,7,51500
201809,빵 및 과자류 소매업,내국인,남성,16731,17924,253175658
201809,빵 및 과자류 소매업,내국인,알수없음,60,68,610900
201809,빵 및 과자류 소매업,내국인,여성,19392,20791,291898902
201809,빵 및 과자류 소매업,중국,알수없음,3,3,16700
201809,서양식 음식점업,내국인,남성,34458,37653,845705530
201809,서양식 음식점업,내국인,알수없음,78,89,1619400
201809,서양식 음식점업,내국인,여성,40716,44605,902543528
201809,서양식 음식점업,중국,알수없음,43,46,1033700
201809,스포츠 및 레크레이션 용품 임대업,내국인,남성,5257,5798,364354850
201809,스포츠 및 레크레이션 용품 임대업,내국인,알수없음,24,28,1627400
201809,스포츠 및 레크레이션 용품 임대업,내국인,여성,2904,3241,240768810
201809,스포츠 및 레크레이션 용품 임대업,중국,알수없음,152,169,17949250
201809,일식 음식점업,내국인,남성,10313,10502,788271230
201809,일식 음식점업,내국인,알수없음,13,13,793500
201809,일식 음식점업,내국인,여성,7642,7791,512721784
201809,일식 음식점업,중국,알수없음,2,2,151000
201809,중식 음식점업,내국인,남성,7283,7491,200460900
201809,중식 음식점업,내국인,알수없음,12,13,504500
201809,중식 음식점업,내국인,여성,3556,3636,104973250
201809,중식 음식점업,중국,알수없음,2,2,156000
201809,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,남성,20186,21633,249784495
201809,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,알수없음,58,63,590100
201809,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,여성,15743,16868,188323883
201809,"피자, 햄버거, 샌드위치 및 유사 음식점업",중국,알수없음,2,2,37200
201809,한식 음식점업,내국인,남성,164980,172642,7052203921
201809,한식 음식점업,내국인,알수없음,271,281,10664350
201809,한식 음식점업,내국인,여성,120483,125995,4818557271
201809,한식 음식점업,중국,알수없음,307,314,19175850
201810,관광 민예품 및 선물용품 소매업,내국인,남성,9173,10048,340563900
201810,관광 민예품 및 선물용품 소매업,내국인,알수없음,12,13,1262000
201810,관광 민예품 및 선물용품 소매업,내국인,여성,11241,12448,391141780
201810,관광 민예품 및 선물용품 소매업,중국,알수없음,42,45,9647000
201810,그외 기타 분류안된 오락관련 서비스업,내국인,남성,29,30,1306000
201810,그외 기타 분류안된 오락관련 서비스업,내국인,여성,23,24,1559000
201810,기타 수상오락 서비스업,내국인,남성,35,37,3720000
201810,기타 수상오락 서비스업,내국인,여성,8,8,321000
201810,기타 외국식 음식점업,내국인,남성,3188,3287,106551670
201810,기타 외국식 음식점업,내국인,알수없음,9,9,363500
201810,기타 외국식 음식점업,내국인,여성,1834,1881,62151110
201810,기타 외국식 음식점업,중국,알수없음,1,1,41000
201810,비알콜 음료점업,내국인,남성,21283,22868,219503960
201810,비알콜 음료점업,내국인,알수없음,31,35,269500
201810,비알콜 음료점업,내국인,여성,21895,23444,227817941
201810,비알콜 음료점업,중국,알수없음,4,4,16900
201810,빵 및 과자류 소매업,내국인,남성,15609,16766,229154699
201810,빵 및 과자류 소매업,내국인,알수없음,51,55,635550
201810,빵 및 과자류 소매업,내국인,여성,17703,19051,263261592
201810,빵 및 과자류 소매업,중국,알수없음,8,8,80850
201810,서양식 음식점업,내국인,남성,31166,34030,754011675
201810,서양식 음식점업,내국인,알수없음,52,56,1426750
201810,서양식 음식점업,내국인,여성,36184,39583,800671850
201810,서양식 음식점업,중국,알수없음,92,103,3496400
201810,스포츠 및 레크레이션 용품 임대업,내국인,남성,4887,5371,384300218
201810,스포츠 및 레크레이션 용품 임대업,내국인,알수없음,27,30,2285100
201810,스포츠 및 레크레이션 용품 임대업,내국인,여성,2731,3033,277809950
201810,스포츠 및 레크레이션 용품 임대업,중국,알수없음,163,196,31785250
201810,일식 음식점업,내국인,남성,9826,10038,783238000
201810,일식 음식점업,내국인,알수없음,5,7,610000
201810,일식 음식점업,내국인,여성,7365,7502,543363850
201810,일식 음식점업,중국,알수없음,4,4,169000
201810,중식 음식점업,내국인,남성,7459,7677,213924220
201810,중식 음식점업,내국인,알수없음,23,23,1358000
201810,중식 음식점업,내국인,여성,3711,3791,106787770
201810,중식 음식점업,중국,알수없음,7,7,281000
201810,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,남성,18278,19559,224433125
201810,"피자, 햄버거, 샌드위치 및 유사 음식점업",내국인,알수없음,51,56,504150
