사업장명,업종구분대분류,업종구분소분류,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,지번주소,도로명주소,도로명우편번호,부대시설내역,데이터갱신일자
(주)블랙스톤리조트,관광사업자,관광숙박업,20060309,,영업/정상,,,,,7966.46,제주특별자치도 제주시 한림읍 금악리 산 54,제주특별자치도 제주시 한림읍 한창로 925-122,,,2019-06-15 02:21:11
(주)블랙스톤리조트,관광사업자,관광숙박업,20050913,,영업/정상,,,,,9516.49,제주특별자치도 제주시 한림읍 금악리 산 67 - 1,,,,2019-06-15 02:21:11
용두암캐빈,관광사업자,관광숙박업,20121012,,영업/정상,,,,,1150.7,제주특별자치도 제주시 용담삼동 1181 - 3,제주특별자치도 제주시 어영길 32 (용담삼동),,,2019-06-15 02:21:11
봄그리고가을리조트,관광사업자,관광숙박업,20121217,,영업/정상,,,,,2731.41,제주특별자치도 서귀포시 성산읍 시흥리 204,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660,,옥외풀장,2019-06-15 02:21:11
에바다호스텔,관광사업자,관광숙박업,20121221,,영업/정상,,,,,1461.76,제주특별자치도 제주시 이호일동 1812 - 8,제주특별자치도 제주시 현사길 45 (이호일동),,,2019-06-15 02:21:11
하이트관광호텔,관광사업자,관광숙박업,20121212,,영업/정상,,,,,2047.6,제주특별자치도 제주시 이도일동 1244 - 7,제주특별자치도 제주시 동광로 45 (이도일동),,"일반음식점, 유흥주점",2019-06-15 02:21:11
팜빌리지,관광사업자,관광숙박업,20121227,,영업/정상,,,,,1300.86,제주특별자치도 서귀포시 호근동 1641 - 2,제주특별자치도 서귀포시 속골로 29-10 (호근동),,일반음식점(2개소),2019-06-15 02:21:11
카이 호스텔,관광사업자,관광숙박업,20130115,,영업/정상,,,,,1249.35,제주특별자치도 제주시 한림읍 협재리 2021 - 1,제주특별자치도 제주시 한림읍 협재2길 10,,바베큐장,2019-06-15 02:21:11
오렌지 호스텔,관광사업자,관광숙박업,20130125,,영업/정상,,,,,1698.42,제주특별자치도 서귀포시 서귀동 317 - 7,제주특별자치도 서귀포시 태평로335번길 3 (서귀동),,,2019-06-15 02:21:11
관광호텔 더레드,관광사업자,관광숙박업,20130208,,영업/정상,,,,,2705.87,제주특별자치도 제주시 이도이동 1176 - 11,제주특별자치도 제주시 동광로6길 10 (이도이동),,일반음식점(147.22),2019-06-15 02:21:11
이호리조트,관광사업자,관광숙박업,20130228,,영업/정상,,,,,1490.31,제주특별자치도 제주시 이호일동 295 - 1,제주특별자치도 제주시 도리로 106-16 (이호일동),,일반음식점,2019-06-15 02:21:11
대명리조트 제주 신관동 휴양콘도미니엄,관광사업자,관광숙박업,20130308,,영업/정상,,,,,12737.57,제주특별자치도 제주시 조천읍 함덕리 954 - 1,제주특별자치도 제주시 조천읍 신북로 577,,,2019-06-15 02:21:11
