년월,시도명,읍면동명,국적,외국인유동인구수
2019-07,제주시,오라동,중국,53009.11
2019-07,제주시,오라동,중국 외,16321.529999999999
2019-07,제주시,외도동,중국,44435.58
2019-07,제주시,외도동,중국 외,10294.05
2019-07,제주시,용담1동,중국,20823.93
2019-07,제주시,용담1동,중국 외,6640.55
2019-07,제주시,용담2동,중국,779279.49
2019-07,제주시,용담2동,중국 외,183586.46
2019-07,제주시,우도면,중국,69011.52
2019-07,제주시,우도면,중국 외,6274.84
2019-07,제주시,이도1동,중국,30742.48
2019-07,제주시,이도1동,중국 외,13855.85
2019-07,제주시,이도2동,중국,43386.11
2019-07,제주시,이도2동,중국 외,17040.6
2019-07,제주시,이호동,중국,56928.95
2019-07,제주시,이호동,중국 외,8039.28
2019-07,제주시,일도1동,중국,15576.62
2019-07,제주시,일도1동,중국 외,4807.18
2019-07,제주시,일도2동,중국,45197.01
2019-07,제주시,일도2동,중국 외,4669.28
2019-07,서귀포시,정방동,중국,48628.42
2019-07,서귀포시,정방동,중국 외,19178.91
2019-07,제주시,조천읍,중국,168452.46
2019-07,제주시,조천읍,중국 외,33092.05
2019-07,서귀포시,중문동,중국,127663.69
2019-07,서귀포시,중문동,중국 외,20868.57
2019-07,서귀포시,중앙동,중국,17470.16
2019-07,서귀포시,중앙동,중국 외,5448.7699999999995
2019-07,서귀포시,천지동,중국,22882.78
2019-07,서귀포시,천지동,중국 외,11368.1
2019-07,제주시,추자면,중국,58819.99
2019-07,제주시,추자면,중국 외,5256.82
2019-07,서귀포시,표선면,중국,74451.70999999999
2019-07,서귀포시,표선면,중국 외,22684.74
2019-07,제주시,한경면,중국,25119.45
2019-07,제주시,한경면,중국 외,7304.09
2019-07,제주시,한림읍,중국,139891.54
2019-07,제주시,한림읍,중국 외,27300.49
2019-07,제주시,화북동,중국,7809.59
2019-07,제주시,화북동,중국 외,2402.08
2019-07,서귀포시,효돈동,중국,5405.11
2019-07,서귀포시,효돈동,중국 외,869.73
2019-08,제주시,건입동,중국,175950.67
2019-08,제주시,건입동,중국 외,48870.36
2019-08,제주시,구좌읍,중국,83551.52
2019-08,제주시,구좌읍,중국 외,25123.2
2019-08,서귀포시,남원읍,중국,159855.57
2019-08,서귀포시,남원읍,중국 외,48347.58
2019-08,제주시,노형동,중국,613356.12
2019-08,제주시,노형동,중국 외,45101.51
2019-08,서귀포시,대륜동,중국,75312.51
2019-08,서귀포시,대륜동,중국 외,24076.31
2019-08,서귀포시,대정읍,중국,36488.5
2019-08,서귀포시,대정읍,중국 외,13352.65
2019-08,서귀포시,대천동,중국,18587.86
2019-08,서귀포시,대천동,중국 외,8681.59
2019-08,제주시,도두동,중국,470937.16
2019-08,제주시,도두동,중국 외,31383.37
2019-08,서귀포시,동홍동,중국,77853.44
2019-08,서귀포시,동홍동,중국 외,10009.86
2019-08,제주시,봉개동,중국,62047.42
2019-08,제주시,봉개동,중국 외,20068.88
2019-08,제주시,삼도1동,중국,56209.880000000005
2019-08,제주시,삼도1동,중국 외,11897.0
2019-08,제주시,삼도2동,중국,178451.04
2019-08,제주시,삼도2동,중국 외,72659.37
2019-08,제주시,삼양동,중국,33536.73
2019-08,제주시,삼양동,중국 외,4358.7699999999995
2019-08,서귀포시,서홍동,중국,261158.09
2019-08,서귀포시,서홍동,중국 외,24923.44
2019-08,서귀포시,성산읍,중국,256646.81
2019-08,서귀포시,성산읍,중국 외,43936.03
2019-08,서귀포시,송산동,중국,20857.46
2019-08,서귀포시,송산동,중국 외,6000.03
2019-08,제주시,아라동,중국,55081.42
2019-08,제주시,아라동,중국 외,16694.57
2019-08,서귀포시,안덕면,중국,403115.56
2019-08,서귀포시,안덕면,중국 외,94723.49
2019-08,제주시,애월읍,중국,522891.84
2019-08,제주시,애월읍,중국 외,74795.35
2019-08,제주시,연동,중국,1818954.81
2019-08,제주시,연동,중국 외,168996.16
2019-08,서귀포시,영천동,중국,43256.7
2019-08,서귀포시,영천동,중국 외,9852.52
2019-08,서귀포시,예래동,중국,268910.22
2019-08,서귀포시,예래동,중국 외,94546.88
2019-08,제주시,오라동,중국,85288.59999999999
2019-08,제주시,오라동,중국 외,20311.28
2019-08,제주시,외도동,중국,31320.39
2019-08,제주시,외도동,중국 외,25331.5
2019-08,제주시,용담1동,중국,22992.64
2019-08,제주시,용담1동,중국 외,5600.7
